AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE ORIGEM (REGIÃO);AEROPORTO DE ORIGEM (PAÍS);AEROPORTO DE ORIGEM (CONTINENTE);LATITUDE;LONGITUDE
SBJA;JAGUARUNA;SC;SUL;BRASIL;AMÉRICA DO SUL; -28.6753;-49.0596
LFBT;TARBES;;;FRANÇA;EUROPA; 43.1786994934082;-0.006438999902456999
LFMT;MONTPELLIER;;;FRANÇA;EUROPA; 43.57619857788086;3.96301007270813
CYUL;"MONTREAL; QUEBEC";;;CANADÁ;AMÉRICA DO NORTE; 45.4706001282;-73.7407989502
DNAA;"ABUJA;  FCT";;;NIGÉRIA;ÁFRICA; 9.006790161132812;7.263169765472412
KMDT;"MIDDLETOWN; PENNSYLVANIA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 40.1935005188;-76.7633972168
ETNL;ROSTOCK;;;ALEMANHA;EUROPA; 53.9182014465;12.278300285299999
USCC;CHELYABINSK;;;RÚSSIA;EUROPA; 55.305801;61.5033
CYVR;"VANCOUVER; BRITISH COLUMBIA";;;CANADÁ;AMÉRICA DO NORTE; 49.193901062;-123.183998108
SNTI;ÓBIDOS;PA;NORTE;BRASIL;AMÉRICA DO SUL; -1.867169976234436;-55.514400482177734
SNAV;JUAZEIRO;BA;NORDESTE;BRASIL;AMÉRICA DO SUL; -9.50417;-40.36944
SNUU;UAUÁ;BA;NORDESTE;BRASIL;AMÉRICA DO SUL; -9.835000038146973;-39.49444580078125
SNIU;IPIAÚ;BA;NORDESTE;BRASIL;AMÉRICA DO SUL; -14.133889198303223;-39.733890533447266
OPLA;LAHORE;;;PAQUISTÃO;ÁSIA; 31.5216007232666;74.40360260009766
SCCI;PUNTA ARENAS;;;CHILE;AMÉRICA DO SUL; -53.002602;-70.854599
UBBB;BAKU;;;AZERBAIJÃO;ÁSIA; 40.467498779296875;50.04669952392578
RJTT;"OTA; TOKYO";;;JAPÃO;ÁSIA; 35.552299;139.779999
LFTW;NÎMES;;;FRANÇA;EUROPA; 43.75740051269531;4.4163498878479
SBTL;TELÊMACO BORBA;PR;SUL;BRASIL;AMÉRICA DO SUL; -24.317801;-50.6516
SBSO;SORRISO;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -12.479177;-55.672341
SSZW;PONTA GROSSA;PR;SUL;BRASIL;AMÉRICA DO SUL; -25.1847;-50.1441
EGBB;"BIRMINGHAM; ENGLAND";;;REINO UNIDO;EUROPA; 52.453899383499994;-1.74802994728
KVQQ;"JACKSONVILLE; FLORIDA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 30.2187004089;-81.876701355
KSBD;"SAN BERNARDINO; CALIFORNIA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 34.0954017639;-117.23500061
SVVG;EL VIGIA;;;VENEZUELA;AMÉRICA DO SUL; 8.624139;-71.672668
EGNL;"BARROW-IN-FURNESS; ENGLAND";;;REINO UNIDO;EUROPA; 54.1286111;-3.2675
LBSF;SOFIA;;;BULGÁRIA;EUROPA; 42.696693420410156;23.411436080932617
KBKV;"BROOKSVILLE; FLORIDA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 28.47360039;-82.45539856
SWEE;ATALAIA DO NORTE;AM;NORTE;BRASIL;AMÉRICA DO SUL; -4.52377986908;-71.560798645
LSGG;GENEVA;;;SUÍÇA;EUROPA; 46.23809814453125;6.108950138092041
MMSD;"LOS CABOS; BAJA CALIFORNIA SUR";;;MÉXICO;AMÉRICA DO NORTE; 23.15180015563965;-109.72100067138672
EGBP;"KEMBLE; ENGLAND";;;REINO UNIDO;EUROPA; 51.668095;-2.05694
SCAR;ARICA;;;CHILE;AMÉRICA DO SUL; -18.348499;-70.338699
KSAT;"SAN ANTONIO; TEXAS";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 29.533701;-98.469803
KSTL;"ST. LOUIS; MISSOURI";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 38.748697;-90.370003
UTTT;TASHKENT;;;UZBEQUISTÃO;ÁSIA; 41.257900238;69.2811965942
CYQX;"GANDER; NEWFOUNDLAND AND LABRADOR";;;CANADÁ;AMÉRICA DO NORTE; 48.9369010925293;-54.56809997558594
LFLX;"CHÂTEAUROUX; DÉOLS";;;FRANÇA;EUROPA; 46.860278;1.721111
KMSP;"BLOOMINGTON; MINNESOTA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 44.882;-93.221802
SWNB;LUÍS EDUARDO MAGALHÃES;BA;NORDESTE;BRASIL;AMÉRICA DO SUL; -14.707221984863281;-56.33833312988281
SNIP;ITAPETINGA;BA;NORDESTE;BRASIL;AMÉRICA DO SUL; -15.244500160217285;-40.277198791503906
LOWW;WIEN/SCHWECHAT;;;ÁUSTRIA;EUROPA; 48.110298156738;16.569700241089
KHSA;"BAY ST. LOUIS; MISSISSIPPI";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 30.367799758911133;-89.45459747314453
BIKF;KEFLAVÍK;;;ISLÂNDIA;EUROPA; 63.985001;-22.6056
SBJE;CRUZ;CE;NORDESTE;BRASIL;AMÉRICA DO SUL;  -2.906526;-40.345086
SANR;TERMAS DE RÍO HONDO;;;ARGENTINA;AMÉRICA DO SUL; -27.4966;-64.93595
SARE;"RESISTENCIA; CHACO PROVINCE";;;ARGENTINA;AMÉRICA DO SUL; -27.45;-59.0561
GQNN;NOUAKCHOTT;;;MAURITÂNIA;ÁFRICA; 18.0982;-15.9485
LETL;TERUEL;;;ESPANHA;EUROPA; 40.403;-1.2183
SVBI;"BARINAS; BARINAS STATE";;;VENEZUELA;AMÉRICA DO SUL; 8.615;-70.21416667
MMMA;MATAMOROS;;;MÉXICO;AMÉRICA DO NORTE; 25.7698993683;-97.5252990723
MMTY;MONTERREY FIR/UIR;;;MÉXICO;AMÉRICA DO NORTE; 25.777819;-100.107985
EPWA;WARSAW;;;POLÔNIA;EUROPA; 52.1656990051;20.967100143399996
CYHN;"HORNEPAYNE; ONTARIO";;;CANADÁ;AMÉRICA DO NORTE; 49.19309997558594;-84.75890350341797
KFSO;"HIGHGATE; VERMONT";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 44.94029999;-73.09750366
LGAV;ATHENS (ATHINA);;;GRÉCIA;EUROPA; 37.9364013672;23.9444999695
LKMT;OSTRAVA;;;REPÚBLICA TCHECA;EUROPA; 49.6963005065918;18.111099243164062
EDDB;BERLIN;;;ALEMANHA;EUROPA; 52.380001;13.5225
SAZN;"NEUQUÉN; NEUQUÉN PROVINCE";;;ARGENTINA;AMÉRICA DO SUL; -38.949001;-68.155701
EIDW;DUBLIN;;;IRLANDA;EUROPA; 53.421299;-6.27007
CYYL;LYNN LAKE;;;CANADÁ;AMÉRICA DO NORTE; 56.86389923095703;-101.07599639892578
CYLU;"KANGIQSUALUJJUAQ; QUEBEC";;;CANADÁ;AMÉRICA DO NORTE; 58.71139907836914;-65.9927978515625
KDEN;"DENVER; COLORADO";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 39.861698150635;-104.672996521
EDNY;FRIEDRICHSHAFEN;;;ALEMANHA;EUROPA; 47.671298980699994;9.51148986816
KRIC;"SANDSTON; VIRGINIA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 37.50519943237305;-77.3197021484375
ESGG;GÖTEBORG;;;SUÉCIA;EUROPA; 57.662799835205;12.279800415039
SAVC;"COMODORO RIVADAVIA; CHUBUT PROVINCE";;;ARGENTINA;AMÉRICA DO SUL; -45.7853;-67.4655
GOBD;DAKAR;;;SENEGAL;ÁFRICA; 14.67;-17.073333
LICJ;PALERMO/PUNTA RAISI;;;ITÁLIA;EUROPA; 38.175999;13.091
LSGL;LAUSANNE / BLÉCHERETTE;;;SUÍÇA;EUROPA; 46.5453;6.61667
FASU;SACE;;;ÁFRICA DO SUL;ÁFRICA; -25.956899642944336;29.211700439453125
SAOU;"SAN LUIS; SAN LUIS PROVINCE";;;ARGENTINA;AMÉRICA DO SUL; -33.2732009888;-66.3563995361
SNHS;SERRA TALHADA;PE;NORDESTE;BRASIL;AMÉRICA DO SUL; -8.0623998642;-38.3288002014
SBPG;PONTA GROSSA;PR;SUL;BRASIL;AMÉRICA DO SUL; -25.188309;-50.141848
SABG;BUENOS AIRES GENDARMERIA;;;ARGENTINA;AMÉRICA DO SUL; -34.558031;-58.417009
LFRB;BREST;;;FRANÇA;EUROPA; 48.447898864746094;-4.418540000915527
